INDEX YEAR MN HR RH NO1 MWS W1 W2 W3 W4 NO2 N NE E SE S SW W NW CA VA NO3
42943 1984  1 12 42 31  5.4 0  0 29  2 31  4  4  4 4 5  4  2  2  2  0 31
42943 1984  2 12 29 28  6.4 0  1 28  0 29  5 10  3 2 3  4  0  2  0  0 29
42943 1984  3 12 12 31  5.6 0  0 31  0 31 11  7  1 0 1  2  5  4  0  0 31
42943 1984  4 12 10 30  8.9 0  2 28  0 30  3  5  2 1 1  3 10  5  0  0 30
42943 1984  5 12  9 31 15.1 0 10 21  0 31  3  1  1 0 0  2 17  7  0  0 31
42943 1984  6 12 42 30 13.6 0  4 26  0 30  3  1  2 1 2  3 14  4  0  0 30
42943 1984  7 12 66 31 10.7 0  0 30  1 31  0  0  0 0 1  4 16  9  1  0 31
42943 1984  8 12 69 31 12.0 0  3 28  0 31  1  0  0 0 0  3 20  7  0  0 31
42943 1984  9 12 52 30 10.8 0  0 30  0 30  4  4  3 2 0  2 11  4  0  0 30
42943 1984 10 12 43 31  6.7 0  0 29  2 31  9  9  3 1 1  0  0  6  2  0 31
42943 1984 11 12 25 24  6.6 0  0 24  0 24  5 13  6 0 0  0  0  0  0  0 24
42943 1984 12 12 26 31  5.6 0  0 31  0 31  9 15  1 0 1  0  0  5  0  0 31
42943 1985  1 12 51 31  6.4 0  0 31  0 31  3  6  3 3 3  6  3  4  0  0 31
42943 1985  2 12 49 26  6.8 0  0 27  0 27  9  6  1 0 0  2  4  5  0  0 27
42943 1985  3 12 13 31  8.0 0  0 31  0 31  6  6  1 2 0  0 10  6  0  0 31
42943 1985  4 12 11 30 10.8 0  1 29  0 30  5  1  2 1 2  1 13  5  0  0 30
42943 1985  5 12 15 31 13.2 0  7 24  0 31  2  2  1 2 3  3 11  7  0  0 31
42943 1985  6 12 46 29 17.5 0 11 19  0 30  2  2  1 1 2  3 14  5  0  0 30
42943 1985  7 12 64 31 13.9 0  5 26  0 31  3  1  0 1 0  3 14  9  0  0 31
42943 1985  8 12 70 31 11.9 0  1 30  0 31  3  0  0 0 0  1 18  9  0  0 31
42943 1985  9 12 54 29  9.5 0  0 29  0 29  8  4  0 1 1  0  7  8  0  0 29
42943 1985 10 12 51 30  6.9 0  0 30  0 30  6 15  3 2 1  0  1  2  0  0 30
